Date,AAPL,MSFT,XOM,BP
2015-01-02,27.332500457763672,46.7599983215332,92.83000183105469,38.11999893188477
2015-01-05,26.5625,46.33000183105469,90.29000091552734,36.099998474121094
2015-01-06,26.565000534057614,45.6500015258789,89.80999755859375,35.83000183105469
2015-01-07,26.9375,46.22999954223633,90.72000122070312,35.91999816894531
2015-01-08,27.97249984741211,47.59000015258789,92.2300033569336,36.72999954223633
2015-01-09,28.002500534057614,47.18999862670898,92.0999984741211,36.58000183105469
2015-01-12,27.3125,46.599998474121094,90.33000183105469,36.04999923706055
2015-01-13,27.55500030517578,46.36000061035156,90.0,35.959999084472656
2015-01-14,27.45000076293945,45.959999084472656,89.73999786376953,35.66999816894531
2015-01-15,26.70499992370605,45.47999954223633,88.95999908447266,35.72999954223633
2015-01-16,26.497499465942386,46.2400016784668,91.12000274658205,37.86000061035156
2015-01-20,27.18000030517578,46.38999938964844,91.08999633789062,37.68999862670898
2015-01-21,27.38750076293945,45.91999816894531,91.87000274658205,38.81999969482422
2015-01-22,28.10000038146973,47.13000106811523,92.87000274658205,38.97999954223633
2015-01-23,28.2450008392334,47.18000030517578,90.88999938964844,38.900001525878906
2015-01-26,28.274999618530273,47.0099983215332,91.76000213623048,39.91999816894531
2015-01-27,27.28499984741211,42.65999984741211,90.9499969482422,40.209999084472656
2015-01-28,28.82749938964844,41.18999862670898,87.94999694824219,38.88000106811523
2015-01-29,29.72500038146973,42.0099983215332,87.58000183105469,38.75
2015-01-30,29.290000915527344,40.400001525878906,87.41999816894531,38.83000183105469
2015-02-02,29.65749931335449,41.27999877929688,89.58000183105469,39.86000061035156
2015-02-03,29.66250038146973,41.599998474121094,92.25,41.099998474121094
2015-02-04,29.88999938964844,41.84000015258789,91.45999908447266,40.45000076293945
2015-02-05,29.98500061035156,42.45000076293945,92.36000061035156,41.38000106811523
2015-02-06,29.732500076293945,42.40999984741211,91.5,41.16999816894531
2015-02-09,29.93000030517578,42.36000061035156,91.55999755859376,41.61000061035156
2015-02-10,30.5049991607666,42.599998474121094,91.01000213623048,41.25
2015-02-11,31.21999931335449,42.38000106811523,90.5999984741211,40.349998474121094
2015-02-12,31.614999771118164,43.09000015258789,92.37000274658205,41.34000015258789
2015-02-13,31.770000457763672,43.86999893188477,93.37000274658205,41.93000030517578
2015-02-17,31.957500457763672,43.58000183105469,93.0500030517578,41.77999877929688
2015-02-18,32.18000030517578,43.52999877929688,91.01000213623048,41.75
2015-02-19,32.112499237060554,43.5,89.44000244140625,41.18999862670898
2015-02-20,32.375,43.86000061035156,89.91999816894531,41.27999877929688
2015-02-23,33.25,44.150001525878906,89.01000213623047,41.22000122070313
2015-02-24,33.04249954223633,44.09000015258789,89.41999816894531,41.59000015258789
2015-02-25,32.197498321533196,43.9900016784668,89.5999984741211,41.90999984741211
2015-02-26,32.60499954223633,44.060001373291016,88.6500015258789,41.36000061035156
2015-02-27,32.115001678466804,43.849998474121094,88.54000091552734,41.43999862670898
2015-03-02,32.272499084472656,43.88000106811523,88.04000091552734,41.29999923706055
2015-03-03,32.34000015258789,43.27999877929688,87.62000274658203,41.7400016784668
2015-03-04,32.134998321533196,43.060001373291016,87.18000030517578,41.52999877929688
2015-03-05,31.602500915527344,43.11000061035156,86.73999786376953,41.18000030517578
2015-03-06,31.649999618530273,42.36000061035156,85.62999725341797,40.349998474121094
2015-03-09,31.78499984741211,42.849998474121094,85.16000366210938,40.27999877929688
2015-03-10,31.127500534057614,42.02999877929688,84.26000213623047,39.040000915527344
2015-03-11,30.559999465942386,41.97999954223633,84.0199966430664,38.22999954223633
2015-03-12,31.11249923706055,41.02000045776367,84.22000122070312,38.15999984741211
2015-03-13,30.897499084472656,41.38000106811523,83.87000274658203,37.599998474121094
2015-03-16,31.23749923706055,41.560001373291016,84.76000213623047,37.54999923706055
2015-03-17,31.76000022888184,41.70000076293945,84.08000183105469,37.81999969482422
2015-03-18,32.11750030517578,42.5,86.06999969482422,39.349998474121094
2015-03-19,31.875,42.290000915527344,84.41000366210938,38.97000122070313
2015-03-20,31.47500038146973,42.88000106811523,84.54000091552734,40.099998474121094
2015-03-23,31.802499771118164,42.86000061035156,85.43000030517578,40.13999938964844
2015-03-24,31.67250061035156,42.900001525878906,84.5199966430664,39.5099983215332
2015-03-25,30.84499931335449,41.459999084472656,84.86000061035156,40.0099983215332
2015-03-26,31.059999465942386,41.209999084472656,84.31999969482422,39.810001373291016
2015-03-27,30.8125,40.97000122070313,83.58000183105469,39.61000061035156
2015-03-30,31.59250068664551,40.959999084472656,85.62999725341797,39.84000015258789
2015-03-31,31.107500076293945,40.65999984741211,85.0,39.11000061035156
2015-04-01,31.0625,40.72000122070313,84.45999908447266,39.5
2015-04-02,31.32999992370605,40.290000915527344,84.30000305175781,39.650001525878906
2015-04-06,31.837499618530273,41.54999923706055,85.12999725341797,40.13000106811523
2015-04-07,31.502500534057614,41.52999877929688,85.75,40.25
2015-04-08,31.399999618530273,41.41999816894531,84.05999755859375,40.77000045776367
2015-04-09,31.63999938964844,41.47999954223633,84.6500015258789,41.349998474121094
2015-04-10,31.774999618530273,41.72000122070313,85.55999755859375,41.540000915527344
2015-04-13,31.712499618530273,41.7599983215332,85.33999633789062,41.22999954223633
2015-04-14,31.57500076293945,41.650001525878906,86.62999725341797,41.79999923706055
2015-04-15,31.69499969482422,42.2599983215332,88.08000183105469,42.41999816894531
2015-04-16,31.542499542236328,42.15999984741211,87.7300033569336,42.54999923706055
2015-04-17,31.1875,41.61999893188477,86.93000030517578,42.88999938964844
